N,P,K,temperature,humidity,ph,rainfall,label
86.95,18.52,53.34,28.66,93.08,6.47,23.92,muskmelon
89.32,11.91,51.74,26.17,90.12,6.76,41.17,watermelon
38.38,63.24,46.95,35.42,94.93,6.88,177.39,papaya
54.45,45.57,45.15,27.2,91.26,6.43,149.25,papaya
23.31,138.21,206.98,24.78,92.43,5.75,127.72,apple
25.08,25.63,28.73,29.92,51.68,4.56,96.82,mango
28.25,136.8,198.78,22.3,93.34,6.26,109.87,apple
15.21,57.9,22.94,28.98,64.75,4.9,43.6,mothbeans
28.58,63.29,24.98,29.16,82.87,7.32,40.98,mungbean
21.67,68.54,21.83,25.54,30.64,5.12,44.11,lentil
39.16,62.89,23.67,27.44,74.5,7.92,64.95,blackgram
29.16,14.16,32.16,28.81,92.1,5.55,130.13,coconut
32.77,9.94,38.15,21.58,94.41,5.6,107.04,pomegranate
71.87,46.26,37.49,34.44,79.55,7.24,180.14,jute
24.2,11.18,31.54,29.98,97.5,5.5,191.98,coconut
34.1,8.6,38.24,19.29,90.77,5.81,107.12,pomegranate
23.66,124.8,208.57,21.79,90.1,5.52,118.67,apple
65.01,52.14,33.61,19.8,64.83,5.63,89.1,maize
58.79,56.57,51.47,40.82,92.14,6.33,178.63,papaya
87.76,15.86,54.08,27.71,94.54,6.31,29.76,muskmelon
111.44,17.54,26.63,26.75,59.58,6.93,207.15,coffee
61.58,61.95,47.11,35.61,90.36,6.84,130.47,papaya
19.32,6.04,10.7,28.91,90.55,7.68,111.11,orange
55.35,64.08,50.11,40.53,94.84,6.85,138.59,papaya
39.51,57.74,80.48,19.27,19.07,5.75,82.09,chickpea
78.95,50.11,43.8,36.5,82.54,7.2,160.53,jute
27.76,60.5,18.29,28.49,86.89,6.38,46.16,mungbean
27.08,17.25,12.61,16.56,91.23,7.93,100.16,orange
34.98,61.53,23.24,32.52,64.32,7.49,139.32,pigeonpeas
95.94,50.16,35.18,20.71,89.95,5.01,216.08,rice
30.66,11.64,39.85,23.45,88.82,6.39,107.52,pomegranate
20.47,52.2,18.58,27.68,47.66,7.2,32.28,mothbeans
73.68,41.71,44.86,30.31,79.97,6.33,174.1,jute
18.6,57.12,21.28,19.46,59.44,7.34,42.8,lentil
62.08,35.76,39.3,23.88,89.05,6.79,151.45,jute
42.52,56.51,16.12,25.49,63.86,6.27,65.2,blackgram
81.54,37.92,40.53,32.08,83.46,6.75,193.78,jute
23.72,69.71,79.81,20.21,14.39,6.95,84.65,chickpea
30.19,76.02,75.38,21.51,16.77,7.09,88.08,chickpea
25.65,61.29,19.71,20.75,21.21,5.86,89.65,kidneybeans
60.59,49.4,45.65,37.56,91.06,6.39,123.85,papaya
23.82,15.98,37.38,28.13,63.06,6.66,99.29,mango
49.24,65.18,19.53,27.79,74.38,6.29,71.6,blackgram
